,,Hari,IGRF,Baseline,Tanggal,Inklinasi,Deklinasi,Koreksi Inklinasi,,,,,,,,,,,,
,,1,44936,45092.7,9/13/2025,-31.67262,0.77712,-58.32738,,,,,,,,,,,,PENGOLAHAN
,,,,,,,,,,,,,,,,,,,,
NO,Nama Titik,Posisi,,,Waktu,Pembacaan PPM,,,,,H Obs (nT),Base (nT),Variasi Harian (nT),Terkoreksi VarHan,Anomali Magnet Total (nT),,,,,
,,Easting (x),Northing (Y),Elevation (Z),,1,2,3,4,5,,,,,,,,,,
1,A1,406371,9134060,88,7:07:00 AM,45233.3,45233.3,45243.1,45238.2,45250.5,45239.68,45093.24,0.54,45239.14,303.14041,,,,,
2,A2,406127,9134092,82,7:28:24 AM,45191.8,45204.5,45206.5,45210,45213.1,45205.18,45097.36,4.66,45200.52,264.51824,,,,,
3,A3,405912,9134097,86,7:41:30,45240,45244.6,45256.5,45253.8,45254.3,45249.84,45100.15,7.45,45242.39,306.38830,,,,,
4,A4,405685,9134110,117,8:00:04 AM,45223.3,45230,45225.1,45236.5,45218.2,45226.62,45104.40,11.70,45214.92,278.92494,,,,,
5,A5,405476,9134119,125,8:16:54 AM,45243.9,45248.9,45263.6,45261.6,45258,45255.2,45108.00,15.30,45239.90,303.90199,,,,,
6,A6,405242,9134112,108,8:31:50 AM,45165.9,45173.3,45159,45166.5,45158.7,45164.68,45111.30,18.60,45146.08,210.07674,,,,,
7,A7,405019,9134118,121,8:51:07 AM,45198.9,45205.2,45214.2,45212.2,45210.2,45208.14,45115.47,22.77,45185.37,249.37201,,,,,
8,A8,404804,9134113,153,9:11:42 AM,45248.4,45239.5,45253.2,45246.8,45248.5,45247.28,45119.21,26.51,45220.77,284.76822,,,,,
9,A9,404567,9134111,170,9:33:36 AM,45217.4,45225.8,45220.1,45221.1,45213.8,45219.64,45122.68,29.98,45189.66,253.65556,,,,,
10,A10,404358,9134113,151,10:01:54 AM,45362.2,45344.6,45352.7,45361.1,45362,45356.52,45125.91,33.21,45323.31,387.31005,,,,,
11,A11,404103,9134106,191,10:22:44 AM,45290.8,45298.2,45298.7,45290.1,45285.1,45292.58,45127.33,34.63,45257.95,321.94729,,,,,
12,A12,403898,9134118,162,10:44:21 AM,45249.1,45259.7,45268.2,45257.5,45253.2,45257.54,45127.84,35.14,45222.40,286.40187,,,,,
13,A13,403672,9134111,180,11:13:29 AM,45307.4,45303.2,45300.6,45291.1,45307.5,45301.96,45126.92,34.22,45267.74,331.73720,,,,,
14,A14,403457,9134111,212,11:31:00 AM,45226.5,45214,45220.3,45226.7,45222.6,45222.02,45125.46,32.76,45189.26,253.25908,,,,,
15,A15,403224,9134111,249,12:45:22 PM,44972.8,44989,44982.5,44981.6,44984.7,44982.12,45113.17,20.47,44961.65,25.65397,,,,,
16,A16,402995,9134125,251,12:46:48 PM,45432.8,45435,45421.9,45428,45440.3,45431.6,45112.94,20.24,45411.36,475.35622,,,,,
17,A17,402775,9134104,207,1:11:24 PM,45566.5,45556.9,45553.2,45554.8,45557.8,45557.84,45107.07,14.37,45543.47,607.46757,,,,,
18,A18,402552,9134109,196,1:26:32 PM,45533.4,45530.1,45519.1,45534.3,45527.5,45528.88,45103.34,10.64,45518.24,582.23809,,,,,
19,A19,402316,9134112,217,1:44:07 PM,45128,45129,45121.5,45129.1,45135.1,45128.54,45098.79,6.09,45122.45,186.45115,,,,,
20,A20,402116,9134112,225,1:54:50 PM,45312.6,45319,45301.5,45301.9,45315.1,45310.02,45096.27,3.57,45306.45,370.44628,,,,,
21,B1,402090,9133879,217,2:06:49 PM,45374.6,45361.1,45362.3,45372,45356.7,45365.34,45093.32,0.62,45364.72,428.72300,,,,,
22,B2,402319,9133889,217,2:51:02 PM,45809.6,45810.5,45814.1,45808.3,45807.1,45809.92,45083.70,-9.00,45818.92,882.92065,,,,,
